id,name,difficulty,difficultyNumber,isopen,isgroomed,info,length,type,isTrailWork,area
4900,Big Rock Park - East,Blue,2,True,True,,0 (ft),1,True,Blue Sky Basin
4901,Big Rock Park - West,Blue,2,True,False,,0 (ft),1,False,Blue Sky Basin
6961,Champagne Glade,Black,3,True,False,,0 (ft),1,False,Blue Sky Basin
4902,China Spur,Blue,2,True,True,,0 (ft),1,True,Blue Sky Basin
4903,Cloud 9 - Lower,Blue,2,True,True,,0 (ft),1,True,Blue Sky Basin
4904,Cloud 9 - Middle,Blue,2,True,True,,0 (ft),1,True,Blue Sky Basin
4905,Cloud 9 - Upper,Blue,2,True,True,,0 (ft),1,True,Blue Sky Basin
4912,Encore,Black,3,True,False,,0 (ft),1,False,Blue Sky Basin
4906,Grand Review,Blue,2,True,False,,0 (ft),1,False,Blue Sky Basin
4907,Grand Review - Lower,Blue,2,True,False,,0 (ft),1,False,Blue Sky Basin
4913,Heavy Metal,Black,3,True,False,,0 (ft),1,False,Blue Sky Basin
4914,Hornsilver,Black,3,True,False,,0 (ft),1,False,Blue Sky Basin
4908,In The Wuides,Blue,2,True,False,,0 (ft),1,False,Blue Sky Basin
4915,Iron Mask,Black,3,True,False,,0 (ft),1,False,Blue Sky Basin
4909,Kelly's Toll Road,Blue,2,True,False,,0 (ft),1,False,Blue Sky Basin
4916,Little Ollie,Black,3,True,False,,0 (ft),1,False,Blue Sky Basin
4917,Lovers Leap,Black,3,True,False,,0 (ft),1,False,Blue Sky Basin
4918,Resolution,Black,3,True,False,,0 (ft),1,False,Blue Sky Basin
4919,Resolution Road,Black,3,True,True,,0 (ft),1,True,Blue Sky Basin
5890,Skree Field,Black,3,True,False,,0 (ft),1,False,Blue Sky Basin
5889,Steep and Deep,Double Black,4,True,False,,0 (ft),1,False,Blue Sky Basin
4920,The Divide,Black,3,True,False,,0 (ft),1,False,Blue Sky Basin
4921,The Divide Ridge,Black,3,True,False,,0 (ft),1,False,Blue Sky Basin
4910,The Star,Blue,2,True,True,,0 (ft),1,True,Blue Sky Basin
4911,The Star - Lower,Blue,2,True,False,,0 (ft),1,False,Blue Sky Basin
4925,China Bowl to Two Elk,Blue,2,True,True,,0 (ft),1,True,China Bowl
4926,Chopstix,Blue,2,True,True,,0 (ft),1,True,China Bowl
4929,Dragons Teeth,Black,3,True,False,,0 (ft),1,False,China Bowl
4930,Genghis Kahn,Black,3,True,False,,0 (ft),1,False,China Bowl
4931,Jade Face,Black,3,True,False,,0 (ft),1,False,China Bowl
4932,Orient Express,Black,3,True,False,,0 (ft),1,False,China Bowl
4927,Poppy Fields East,Blue,2,True,False,,0 (ft),1,False,China Bowl
4928,Poppy Fields West,Blue,2,True,True,,0 (ft),1,True,China Bowl
4933,Rasputins Revenge,Black,3,True,False,,0 (ft),1,False,China Bowl
4934,Shangri-La,Black,3,True,False,,0 (ft),1,False,China Bowl
4935,Sweet N Sour,Black,3,True,False,,0 (ft),1,False,China Bowl
4942,10% Road,Blue,2,True,True,,0 (ft),1,True,Game Creek Bowl
4943,Baccarat,Blue,2,True,False,,0 (ft),1,False,Game Creek Bowl
4944,Club Walk,Green,1,True,True,,0 (ft),1,True,Game Creek Bowl
4945,Dealer's Choice,Blue,2,True,False,,0 (ft),1,False,Game Creek Bowl
4949,Deuces Wild,Black,3,True,False,,0 (ft),1,False,Game Creek Bowl
4950,Faro,Black,3,True,False,,0 (ft),1,False,Game Creek Bowl
4951,Faro Glade,Black,3,True,False,,0 (ft),1,False,Game Creek Bowl
4939,Game Trail,Green,1,True,True,,0 (ft),1,True,Game Creek Bowl
4940,Lost Boy,Green,1,True,True,,0 (ft),1,True,Game Creek Bowl
4941,Lost Boy Catwalk,Green,1,True,True,,0 (ft),1,True,Game Creek Bowl
4952,Ouzo,Black,3,True,False,,0 (ft),1,False,Game Creek Bowl
4953,Ouzo - Lower,Black,3,True,False,,0 (ft),1,False,Game Creek Bowl
4954,Ouzo Glade,Black,3,True,False,,0 (ft),1,False,Game Creek Bowl
4946,Poker Flats,Blue,2,True,True,,0 (ft),1,True,Game Creek Bowl
4947,Showboat,Blue,2,True,False,,0 (ft),1,False,Game Creek Bowl
4948,The Woods,Blue,2,True,False,,0 (ft),1,False,Game Creek Bowl
4955,Wild Card,Black,3,True,False,,0 (ft),1,False,Game Creek Bowl
4957,12 to 1 Connector,Green,1,True,True,,0 (ft),1,True,Golden Peak
4958,Brisk Walk,Green,1,True,False,,0 (ft),1,False,Golden Peak
4959,Brisk Walk - Lower,Green,1,True,False,,0 (ft),1,False,Golden Peak
4960,Brisk Walk - Upper,Green,1,True,False,,0 (ft),1,False,Golden Peak
5885,Fall Line - Race Trail,Black,3,True,False,,0 (ft),1,False,Golden Peak
6953,Golden Peak Race - Race Trail,Black,3,True,False,,0 (ft),1,False,Golden Peak
4972,Golden Peak Terrain Park - Middle,Terrain Park or Other,5,True,False,,0 (ft),1,False,Golden Peak
4973,Golden Peak Terrain Park - Mini Pipe,Terrain Park or Other,5,True,False,,0 (ft),1,False,Golden Peak
4974,Golden Peak Terrain Park - Upper,Terrain Park or Other,5,True,False,,0 (ft),1,False,Golden Peak
4961,Gopher Hill - Chair 12,Green,1,True,True,,0 (ft),1,True,Golden Peak
4962,Grand Junction CW,Green,1,True,True,,0 (ft),1,True,Golden Peak
5886,Hairbag Alley,Black,3,True,False,,0 (ft),1,False,Golden Peak
5887,Klickity Klack,Black,3,True,False,,0 (ft),1,False,Golden Peak
4963,Mil Creek Road,Green,1,True,True,,0 (ft),1,True,Golden Peak
4966,Pony Express - Lower,Blue,2,True,False,,0 (ft),1,False,Golden Peak
4967,Pony Express - Upper,Blue,2,True,False,,0 (ft),1,False,Golden Peak
