id,name,difficulty,difficultyNumber,isopen,isgroomed,info,length,type,isTrailWork,area
5654,Cresta,Blue,2,True,True,,0 (ft),1,True,Arrowhead
4377,Cross Bow,Blue,2,True,False,,0 (ft),1,False,Arrowhead
4381,Flint,Black,3,True,False,,0 (ft),1,False,Arrowhead
4378,Golden Bear,Blue,2,True,True,,0 (ft),1,True,Arrowhead
4379,Little Brave,Green,1,True,True,,0 (ft),1,True,Arrowhead
4374,Piece O' Cake,Green,1,True,True,,0 (ft),1,True,Arrowhead
4380,Pow Wow,Blue,2,True,False,,0 (ft),1,False,Arrowhead
4375,Stirrup,Green,1,True,True,,0 (ft),1,True,Arrowhead
4382,Tomahawk,Black,3,True,False,,0 (ft),1,False,Arrowhead
4383,Wapiti,Black,3,True,False,,0 (ft),1,False,Arrowhead
4387,Cabin Fever,Blue,2,True,True,,0 (ft),1,True,Bachelor Gulch
5777,Coyote Glade,Blue,2,True,False,,0 (ft),1,False,Bachelor Gulch
4388,Grubstake,Blue,2,True,False,,0 (ft),1,False,Bachelor Gulch
4389,Gunder's,Blue,2,True,True,,0 (ft),1,True,Bachelor Gulch
5640,Intertwine,Green,1,True,True,,0 (ft),1,True,Bachelor Gulch
4390,Maverick,Blue,2,True,True,,0 (ft),1,True,Bachelor Gulch
4391,Roughlock,Blue,2,True,True,,0 (ft),1,True,Bachelor Gulch
4386,Sawbuck,Green,1,True,True,,0 (ft),1,True,Bachelor Gulch
5776,Sourdough’s Slide,Blue,2,True,False,,0 (ft),1,False,Bachelor Gulch
4392,Springtooth,Blue,2,True,False,,0 (ft),1,False,Bachelor Gulch
4385,Leav the Beav,Green,1,True,True,,0 (ft),1,True,Beaver Creek Landing
4450,1876,Blue,2,True,False,,0 (ft),1,False,Beaver Creek Lower
5773,4 Get About It,Black,3,True,False,,0 (ft),1,False,Beaver Creek Lower
4460,Addy's,Black,3,True,False,,0 (ft),1,False,Beaver Creek Lower
4451,Assay,Blue,2,True,False,,0 (ft),1,False,Beaver Creek Lower
4452,Barrel Stave,Blue,2,True,False,,0 (ft),1,False,Beaver Creek Lower
4453,Bear Trap,Blue,2,True,True,,0 (ft),1,True,Beaver Creek Lower
4445,Beginner Area Ch. #2,Green,1,True,True,,0 (ft),1,True,Beaver Creek Lower
5775,Big Bark/Little Bark,Blue,2,True,False,,0 (ft),1,False,Beaver Creek Lower
4461,Bootleg,Black,3,True,False,,0 (ft),1,False,Beaver Creek Lower
4462,Buckboard,Black,3,True,False,,0 (ft),1,False,Beaver Creek Lower
4454,Centennial - Lower,Blue,2,True,True,,0 (ft),1,True,Beaver Creek Lower
4463,Centennial - Willy's Face,Black,3,True,True,,0 (ft),1,True,Beaver Creek Lower
4446,Cinch - Lower,Green,1,True,True,,0 (ft),1,True,Beaver Creek Lower
5771,Corkscrew,Blue,2,True,False,,0 (ft),1,False,Beaver Creek Lower
4447,Dally - Lower,Green,1,True,True,,0 (ft),1,True,Beaver Creek Lower
4448,Dally - Upper,Green,1,True,True,,0 (ft),1,True,Beaver Creek Lower
4465,Fools Gold,Black,3,True,False,,0 (ft),1,False,Beaver Creek Lower
4464,Gary’s,Black,3,True,False,,0 (ft),1,False,Beaver Creek Lower
4456,Gold Dust,Blue,2,True,True,,0 (ft),1,True,Beaver Creek Lower
4457,Gold Rush,Blue,2,True,False,,0 (ft),1,False,Beaver Creek Lower
5770,Golden Eagle Connector,Black,3,True,False,,0 (ft),1,False,Beaver Creek Lower
4466,Harrier - Lower,Black,3,True,False,,0 (ft),1,False,Beaver Creek Lower
4458,Harrier - Upper,Blue,2,True,True,,0 (ft),1,True,Beaver Creek Lower
4449,Haymeadow,Green,1,True,True,,0 (ft),1,True,Beaver Creek Lower
5772,Heads Up,Black,3,True,False,,0 (ft),1,False,Beaver Creek Lower
4467,Helmut's,Black,3,True,False,,0 (ft),1,False,Beaver Creek Lower
4459,Latigo,Blue,2,True,True,,0 (ft),1,True,Beaver Creek Lower
4468,Moonshine,Black,3,True,False,,0 (ft),1,False,Beaver Creek Lower
5774,Stickline,Black,3,True,False,,0 (ft),1,False,Beaver Creek Lower
4455,Toyota Race Center,Blue,2,True,True,,0 (ft),1,True,Beaver Creek Lower
4493,Booth Gardens,Green,1,True,False,,0 (ft),1,False,Beaver Creek Upper
4494,Centennial - Hohum,Green,1,True,True,,0 (ft),1,True,Beaver Creek Upper
4504,Centennial - Spruce Face,Black,3,True,True,,0 (ft),1,True,Beaver Creek Upper
4495,Cinch - Upper,Green,1,True,True,,0 (ft),1,True,Beaver Creek Upper
4505,Gosawk Connector,Black,3,True,False,,0 (ft),1,False,Beaver Creek Upper
4502,Jack Rabbit Alley,Blue,2,True,False,,0 (ft),1,False,Beaver Creek Upper
4496,Mystic Island,Green,1,True,False,,0 (ft),1,False,Beaver Creek Upper
4507,Park 101,Green,5,True,True,,0 (ft),1,True,Beaver Creek Upper
4497,Piney,Green,1,True,True,,0 (ft),1,True,Beaver Creek Upper
4498,Powell,Green,1,True,True,,0 (ft),1,True,Beaver Creek Upper
4499,Red Buffalo,Green,1,True,True,,0 (ft),1,True,Beaver Creek Upper
4506,Sheephorn,Black,3,True,False,,0 (ft),1,False,Beaver Creek Upper
4503,Sheephorn - Escape,Blue,2,True,True,,0 (ft),1,True,Beaver Creek Upper
4500,Sheephorn - Upper,Green,1,True,False,,0 (ft),1,False,Beaver Creek Upper
4501,Solitude,Green,1,True,True,,0 (ft),1,True,Beaver Creek Upper
4508,Zoom Room,Green,1,True,True,,0 (ft),1,True,Beaver Creek Upper
4407,Golden Eagle - Lower,Black,3,True,False,,0 (ft),1,False,Birds of Prey
4410,Golden Eagle - Upper,Double Black,4,True,False,,0 (ft),1,False,Birds of Prey
